Port,Year,Week,Commercial Market,Commercial Size Class,Median Waiting Time Off Port Limits,Waiting Time Off Port Limits Confidence Score ,Median Time At Port,Time At Port Confidence Score,Median Waiting Time Off Port Limits  Standard Deviation ,Time At Port Standard Deviation,Waiting Time Off Port Limits  % Difference (week-to-week),Time At Port % Difference (week-to-week)
Yantian,2025,7,ALL,ALL,0.2,LOW,0.8,LOW,1,0.4,-85.7,-20
Vung tau,2025,7,ALL,ALL,0.3,MEDIUM,2.3,MEDIUM,0.2,13.8,,130
Tianjin,2025,7,ALL,ALL,0.7,HIGH,1.1,HIGH,6.4,4,-12.5,-15.4
Tanjung pelepas,2025,7,ALL,ALL,0.5,LOW,0.8,LOW,2,0.6,-28.6,14.3
Singapore,2025,7,ALL,ALL,0.9,HIGH,0.8,HIGH,3.6,2.9,0,0
Shanghai,2025,7,ALL,ALL,0.7,HIGH,0.6,HIGH,2.6,4,-22.2,0
Qingdao,2025,7,ALL,ALL,0.5,HIGH,0.8,HIGH,2.4,4.1,-44.4,-11.1
Ningbo,2025,7,ALL,ALL,0.9,HIGH,0.8,HIGH,1.6,2.3,-10,-11.1
Nansha,2025,7,ALL,ALL,0.3,LOW,0.5,LOW,1.7,2.4,-40,-28.6
Hai phong,2025,7,ALL,ALL,0.4,HIGH,1,HIGH,2.2,4.9,100,0
Busan,2025,7,ALL,ALL,0.4,HIGH,0.8,HIGH,9.3,3,-20,0
Yantian,2025,6,ALL,ALL,1.4,LOW,1,LOW,1.4,0.5,40,-28.6
Vung tau,2025,6,ALL,ALL,,MEDIUM,1,MEDIUM,,14.5,,-33.3
Tianjin,2025,6,ALL,ALL,0.8,LOW,1.3,LOW,5.7,4.5,14.3,8.3
Tanjung pelepas,2025,6,ALL,ALL,0.7,HIGH,0.7,HIGH,1.4,1.1,16.7,-12.5
Singapore,2025,6,ALL,ALL,0.9,HIGH,0.8,HIGH,3.9,2.5,12.5,0
Shanghai,2025,6,ALL,ALL,0.9,HIGH,0.6,HIGH,3.3,4.4,-55,0
Qingdao,2025,6,ALL,ALL,0.9,HIGH,0.8,HIGH,1.7,5.3,12.5,-11.1
Ningbo,2025,6,ALL,ALL,1,HIGH,0.9,HIGH,1.8,1.7,-33.3,0
Nansha,2025,6,ALL,ALL,0.6,HIGH,0.6,HIGH,1,2,-40,0
Hai phong,2025,6,ALL,ALL,0.2,HIGH,1,HIGH,2,5.6,-33.3,0
Busan,2025,6,ALL,ALL,0.5,LOW,0.8,LOW,1.8,3,0,-11.1
Yantian,2025,5,ALL,ALL,1,LOW,1.4,LOW,1,0.5,100,40
Vung tau,2025,5,ALL,ALL,0.3,MEDIUM,1.5,MEDIUM,,11,50,66.7
Tianjin,2025,5,ALL,ALL,0.7,MEDIUM,1.2,MEDIUM,3.9,3.8,0,0
Tanjung pelepas,2025,5,ALL,ALL,0.6,HIGH,0.8,HIGH,1.1,0.7,0,0
Singapore,2025,5,ALL,ALL,0.9,MEDIUM,0.8,MEDIUM,3.7,4,-25,0
Shanghai,2025,5,ALL,ALL,2,LOW,0.6,LOW,2,4.1,17.6,-14.3
Qingdao,2025,5,ALL,ALL,0.9,HIGH,0.9,HIGH,1.1,4.8,28.6,12.5
Ningbo,2025,5,ALL,ALL,1.5,HIGH,0.9,HIGH,1.7,1.3,25,0
Nansha,2025,5,ALL,ALL,1,LOW,0.6,LOW,1.4,2.3,100,-14.3
Hai phong,2025,5,ALL,ALL,0.3,HIGH,1,HIGH,0.8,5.4,0,0
Busan,2025,5,ALL,ALL,0.5,HIGH,0.9,HIGH,1.6,3.1,25,0
Yantian,2025,4,ALL,ALL,0.5,MEDIUM,1,MEDIUM,0.8,0.5,25,0
Vung tau,2025,4,ALL,ALL,0.2,LOW,0.9,LOW,,0.6,-80,-83.6
Tianjin,2025,4,ALL,ALL,0.7,HIGH,1.2,HIGH,4.1,2.9,0,-7.7
Tanjung pelepas,2025,4,ALL,ALL,0.6,HIGH,0.8,HIGH,1.4,1.1,20,0
Singapore,2025,4,ALL,ALL,1.2,MEDIUM,0.8,MEDIUM,5.5,4,,
Shanghai,2025,4,ALL,ALL,1.7,HIGH,0.7,HIGH,2.1,4.7,13.3,0
Qingdao,2025,4,ALL,ALL,0.7,HIGH,0.8,HIGH,1.6,4.2,40,0
Ningbo,2025,4,ALL,ALL,1.2,HIGH,0.9,HIGH,1.6,2.5,33.3,0
Nansha,2025,4,ALL,ALL,0.5,LOW,0.7,LOW,2.6,1.3,-16.7,16.7
Hai phong,2025,4,ALL,ALL,0.3,HIGH,1,HIGH,1.9,7.1,0,0
Busan,2025,4,ALL,ALL,0.4,LOW,0.9,LOW,11,3.1,33.3,12.5
Yantian,2025,3,ALL,ALL,0.4,HIGH,1,HIGH,0.5,0.5,-42.9,0
Vung tau,2025,3,ALL,ALL,1,MEDIUM,5.5,MEDIUM,,16.8,233.3,450
Tianjin,2025,3,ALL,ALL,0.7,HIGH,1.3,HIGH,4.6,3.2,-22.2,8.3
Tanjung pelepas,2025,3,ALL,ALL,0.5,HIGH,0.8,HIGH,2.1,0.5,0,0
Singapore,2025,3,ALL,ALL,0.8,HIGH,0.8,HIGH,4.1,3.7,-11.1,0
Shanghai,2025,3,ALL,ALL,1.5,HIGH,0.7,HIGH,2.1,4.1,7.1,16.7
Qingdao,2025,3,ALL,ALL,0.7,HIGH,0.8,HIGH,1.2,3,-12.5,-11.1
Ningbo,2025,3,ALL,ALL,0.9,HIGH,0.9,HIGH,1.4,0.9,-10,0
Nansha,2025,3,ALL,ALL,0.6,HIGH,0.6,HIGH,1.4,4.1,20,0
Hai phong,2025,3,ALL,ALL,0.3,HIGH,1,HIGH,1.6,6.8,0,0
Busan,2025,3,ALL,ALL,0.3,HIGH,0.8,HIGH,2.1,2.3,-40,0
Yantian,2025,2,ALL,ALL,0.7,HIGH,1,HIGH,0.6,0.6,133.3,0
Vung tau,2025,2,ALL,ALL,0.3,LOW,1,LOW,0.3,15.4,,-89.8
Tianjin,2025,2,ALL,ALL,0.9,LOW,1.2,LOW,3.9,3,-18.2,9.1
Tanjung pelepas,2025,2,ALL,ALL,0.5,HIGH,0.8,HIGH,2.5,1,0,0
Singapore,2025,2,ALL,ALL,0.9,HIGH,0.8,HIGH,4.5,2.6,,
Shanghai,2025,2,ALL,ALL,1.4,HIGH,0.6,HIGH,1.6,4.1,0,-14.3
Qingdao,2025,2,ALL,ALL,0.8,HIGH,0.9,HIGH,1,1.3,60,12.5
Ningbo,2025,2,ALL,ALL,1,HIGH,0.9,HIGH,1.2,1.2,,
Nansha,2025,2,ALL,ALL,0.5,HIGH,0.6,HIGH,2.1,3.9,,
Hai phong,2025,2,ALL,ALL,0.3,HIGH,1,HIGH,1.5,9.8,0,0
Busan,2025,2,ALL,ALL,0.5,LOW,0.8,LOW,0.9,3.9,-28.6,-11.1
Yantian,2025,1,ALL,ALL,0.3,LOW,1,LOW,0.9,0.4,,
Vung tau,2025,1,ALL,ALL,,MEDIUM,9.8,MEDIUM,,19.8,,
Tianjin,2025,1,ALL,ALL,1.1,HIGH,1.1,HIGH,4.3,1.7,,
Tanjung pelepas,2025,1,ALL,ALL,0.5,MEDIUM,0.8,MEDIUM,2.9,0.7,,
Singapore,2025,1,ALL,ALL,0.8,HIGH,0.8,HIGH,6.6,3.2,,
Shanghai,2025,1,ALL,ALL,1.4,MEDIUM,0.7,MEDIUM,1.9,5.1,,
Qingdao,2025,1,ALL,ALL,0.5,HIGH,0.8,HIGH,1.3,1.9,,
Ningbo,2025,1,ALL,ALL,1.2,HIGH,1,HIGH,1.4,2.3,,
Nansha,2025,1,ALL,ALL,0.4,LOW,0.5,LOW,0.5,4.2,,
Hai phong,2025,1,ALL,ALL,0.3,MEDIUM,1,MEDIUM,1.3,8.9,,
Busan,2025,1,ALL,ALL,0.7,HIGH,0.9,HIGH,11.6,2.1,,
Yantian,2024,52,ALL,ALL,0.3,LOW,0.9,LOW,0.6,0.4,-50,-10
Vung tau,2024,52,ALL,ALL,4.7,MEDIUM,6.3,MEDIUM,17.5,12.4,683.3,250
Tianjin,2024,52,ALL,ALL,0.7,HIGH,1.3,HIGH,3.9,3,-12.5,18.2
Tanjung pelepas,2024,52,ALL,ALL,0.5,HIGH,0.8,HIGH,8,1.4,25,14.3
Singapore,2024,52,ALL,ALL,0.9,HIGH,0.8,HIGH,3,3.9,0,0
Shanghai,2024,52,ALL,ALL,1.1,HIGH,0.7,HIGH,1.5,4.8,-26.7,0
Qingdao,2024,52,ALL,ALL,0.8,HIGH,0.8,HIGH,1.4,3,-11.1,0
Ningbo,2024,52,ALL,ALL,1.1,MEDIUM,0.9,MEDIUM,1.1,1.6,-8.3,0
Nansha,2024,52,ALL,ALL,0.5,LOW,0.6,LOW,1.2,0.8,-28.6,20
Hai phong,2024,52,ALL,ALL,0.3,HIGH,1,HIGH,1.1,4.6,50,0
Busan,2024,52,ALL,ALL,0.3,MEDIUM,0.8,MEDIUM,2.9,3.1,0,0
Yantian,2024,51,ALL,ALL,0.6,LOW,1,LOW,0.6,0.4,100,11.1
Vung tau,2024,51,ALL,ALL,0.6,MEDIUM,1.8,MEDIUM,0.3,18.9,100,-5.3
Tianjin,2024,51,ALL,ALL,0.8,HIGH,1.1,HIGH,3.5,2,33.3,-15.4
Tanjung pelepas,2024,51,ALL,ALL,0.4,LOW,0.7,LOW,0.8,0.6,-20,-12.5
Singapore,2024,51,ALL,ALL,0.9,HIGH,0.8,HIGH,3.1,3.3,0,0
Shanghai,2024,51,ALL,ALL,1.5,HIGH,0.7,HIGH,1.7,4.3,-6.3,0
Qingdao,2024,51,ALL,ALL,0.9,HIGH,0.8,HIGH,1.8,3,50,-11.1
Ningbo,2024,51,ALL,ALL,1.2,LOW,0.9,LOW,1.9,1.3,20,12.5
Nansha,2024,51,ALL,ALL,0.7,HIGH,0.5,HIGH,0.9,1.7,0,0
Hai phong,2024,51,ALL,ALL,0.2,HIGH,1,HIGH,1.1,7.9,-50,0
Busan,2024,51,ALL,ALL,0.3,HIGH,0.8,HIGH,0.8,3.4,0,0
Yantian,2024,50,ALL,ALL,0.3,HIGH,0.9,HIGH,0.5,0.4,0,0
Vung tau,2024,50,ALL,ALL,0.3,HIGH,1.9,HIGH,0.4,12.8,,-40.6
Tianjin,2024,50,ALL,ALL,0.6,LOW,1.3,LOW,3.2,2.7,-25,18.2
Tanjung pelepas,2024,50,ALL,ALL,0.5,MEDIUM,0.8,MEDIUM,7.6,1.4,-16.7,0
Singapore,2024,50,ALL,ALL,0.9,MEDIUM,0.8,MEDIUM,3.3,1.9,12.5,0
Shanghai,2024,50,ALL,ALL,1.6,HIGH,0.7,HIGH,1.8,5.4,-5.9,0
Qingdao,2024,50,ALL,ALL,0.6,HIGH,0.9,HIGH,1.2,3.5,-25,12.5
Ningbo,2024,50,ALL,ALL,1,LOW,0.8,LOW,2.5,1.5,-23.1,-11.1
Nansha,2024,50,ALL,ALL,0.7,MEDIUM,0.5,MEDIUM,0.9,3,133.3,0
Hai phong,2024,50,ALL,ALL,0.4,HIGH,1,HIGH,0.8,7.8,0,0
Busan,2024,50,ALL,ALL,0.3,MEDIUM,0.8,MEDIUM,1.1,2.4,-25,0
Yantian,2024,49,ALL,ALL,0.3,HIGH,0.9,HIGH,1.4,0.4,50,0
Vung tau,2024,49,ALL,ALL,0.5,LOW,22.1,LOW,,20,,590.6
Tianjin,2024,49,ALL,ALL,0.8,HIGH,1.1,HIGH,3.7,2.1,-38.5,-35.3
Tanjung pelepas,2024,49,ALL,ALL,0.6,HIGH,0.8,HIGH,2.3,1.5,0,0
Singapore,2024,49,ALL,ALL,0.8,HIGH,0.8,HIGH,4.2,3.4,-33.3,0
Shanghai,2024,49,ALL,ALL,1.7,HIGH,0.7,HIGH,1.7,4.3,6.3,0
Qingdao,2024,49,ALL,ALL,0.8,HIGH,0.8,HIGH,2.9,2.7,-11.1,0
Ningbo,2024,49,ALL,ALL,1.3,HIGH,0.9,HIGH,2,1.8,-27.8,0
Nansha,2024,49,ALL,ALL,0.3,HIGH,0.5,HIGH,0.9,0.7,-40,0
Hai phong,2024,49,ALL,ALL,0.4,HIGH,1,HIGH,0.5,5.1,-20,0
Busan,2024,49,ALL,ALL,0.4,HIGH,0.8,HIGH,0.8,4.9,-20,0
Yantian,2024,48,ALL,ALL,0.2,LOW,0.9,LOW,0.3,0.4,0,12.5
Vung tau,2024,48,ALL,ALL,,MEDIUM,3.2,MEDIUM,,12.6,,128.6
Tianjin,2024,48,ALL,ALL,1.3,LOW,1.7,LOW,3.8,2,30,41.7
Tanjung pelepas,2024,48,ALL,ALL,0.6,LOW,0.8,LOW,5.4,0.7,20,14.3
Singapore,2024,48,ALL,ALL,1.2,HIGH,0.8,HIGH,4.1,3.2,20,0
Shanghai,2024,48,ALL,ALL,1.6,MEDIUM,0.7,MEDIUM,1.7,5.3,-11.1,0
Qingdao,2024,48,ALL,ALL,0.9,HIGH,0.8,HIGH,1.8,2.4,80,0
Ningbo,2024,48,ALL,ALL,1.8,LOW,0.9,LOW,4.6,3.1,80,12.5
Nansha,2024,48,ALL,ALL,0.5,HIGH,0.5,HIGH,1.2,4,66.7,0
Hai phong,2024,48,ALL,ALL,0.5,HIGH,1,HIGH,1.3,6.3,-16.7,0
Busan,2024,48,ALL,ALL,0.5,HIGH,0.8,HIGH,1,2.9,25,0
Yantian,2024,47,ALL,ALL,0.2,LOW,0.8,LOW,0.5,0.4,-33.3,-11.1
Vung tau,2024,47,ALL,ALL,0.9,LOW,1.4,LOW,0.8,19.2,12.5,7.7
Tianjin,2024,47,ALL,ALL,1,HIGH,1.2,HIGH,3.8,2.1,25,9.1
Tanjung pelepas,2024,47,ALL,ALL,0.5,LOW,0.7,LOW,1.9,0.7,-28.6,-12.5
Singapore,2024,47,ALL,ALL,1,HIGH,0.8,HIGH,6.2,3.3,-23.1,0
Shanghai,2024,47,ALL,ALL,1.8,HIGH,0.7,HIGH,2.1,4.1,-5.3,0
Qingdao,2024,47,ALL,ALL,0.5,HIGH,0.8,HIGH,1.2,2.7,-28.6,0
Ningbo,2024,47,ALL,ALL,1,HIGH,0.8,HIGH,2.2,1.3,0,0
Nansha,2024,47,ALL,ALL,0.3,HIGH,0.5,HIGH,0.7,0.6,0,0
Hai phong,2024,47,ALL,ALL,0.3,LOW,1.1,LOW,1.2,5.1,-50,10
Busan,2024,47,ALL,ALL,0.4,MEDIUM,0.8,MEDIUM,14.1,3.4,0,0
Yantian,2024,46,ALL,ALL,0.3,HIGH,0.9,HIGH,0.5,0.4,0,0
Vung tau,2024,46,ALL,ALL,0.8,LOW,1.3,LOW,2.6,15.9,0,-65.8
Tianjin,2024,46,ALL,ALL,0.8,HIGH,1.1,HIGH,2.9,2,60,-15.4
Tanjung pelepas,2024,46,ALL,ALL,0.7,HIGH,0.8,HIGH,1,0.7,75,0
Singapore,2024,46,ALL,ALL,0.9,MEDIUM,0.8,MEDIUM,2.7,3.7,0,0
Shanghai,2024,46,ALL,ALL,1.9,HIGH,0.7,HIGH,2,4.4,18.8,0
Qingdao,2024,46,ALL,ALL,0.7,HIGH,0.8,HIGH,1.1,3,-22.2,-11.1
Ningbo,2024,46,ALL,ALL,1,HIGH,0.8,HIGH,3.6,1.2,-23.1,-11.1
Nansha,2024,46,ALL,ALL,0.3,MEDIUM,0.5,MEDIUM,0.2,3,-40,0
Hai phong,2024,46,ALL,ALL,0.6,HIGH,1,HIGH,1.3,4.4,200,0
Busan,2024,46,ALL,ALL,0.4,LOW,0.8,LOW,0.6,3,0,-20
Yantian,2024,45,ALL,ALL,0.3,HIGH,0.9,HIGH,0.5,0.4,-66.7,0
Vung tau,2024,45,ALL,ALL,0.8,MEDIUM,3.8,MEDIUM,0.4,22.4,60,11.8
Tianjin,2024,45,ALL,ALL,0.5,HIGH,1.3,HIGH,4,3.3,0,18.2
Tanjung pelepas,2024,45,ALL,ALL,0.4,MEDIUM,0.8,MEDIUM,0.9,0.6,33.3,0
Singapore,2024,45,ALL,ALL,0.9,HIGH,0.8,HIGH,4.5,3.7,12.5,0
Shanghai,2024,45,ALL,ALL,1.6,LOW,0.7,LOW,2.1,3.8,60,-22.2
Qingdao,2024,45,ALL,ALL,0.9,HIGH,0.9,HIGH,1.6,4.1,-30.8,12.5
Ningbo,2024,45,ALL,ALL,1.3,HIGH,0.9,HIGH,2.2,1.9,44.4,12.5
Nansha,2024,45,ALL,ALL,0.5,HIGH,0.5,HIGH,0.9,1.3,25,0
Hai phong,2024,45,ALL,ALL,0.2,HIGH,1,HIGH,1,6.8,-33.3,0
Busan,2024,45,ALL,ALL,0.4,HIGH,1,HIGH,1.3,3.2,0,25
Yantian,2024,44,ALL,ALL,0.9,HIGH,0.9,HIGH,0.9,0.5,200,-10
Vung tau,2024,44,ALL,ALL,1.3,LOW,4.1,LOW,1.1,15.2,160,20.6
Tianjin,2024,44,ALL,ALL,0.5,HIGH,1.1,HIGH,5.2,2.2,-16.7,0
Tanjung pelepas,2024,44,ALL,ALL,0.3,MEDIUM,0.8,MEDIUM,4.8,0.6,-40,0
Singapore,2024,44,ALL,ALL,0.8,HIGH,0.8,HIGH,5.3,4.4,0,0
Shanghai,2024,44,ALL,ALL,1,HIGH,0.9,HIGH,1.8,3.9,0,28.6
Qingdao,2024,44,ALL,ALL,1.3,HIGH,0.8,HIGH,1.5,5,8.3,-20
Ningbo,2024,44,ALL,ALL,0.9,HIGH,0.8,HIGH,2.3,2.8,-25,0
Nansha,2024,44,ALL,ALL,0.4,MEDIUM,0.5,MEDIUM,5.6,0.5,33.3,0
Hai phong,2024,44,ALL,ALL,0.3,HIGH,1,HIGH,1,4.2,0,0
Busan,2024,44,ALL,ALL,0.4,HIGH,0.8,HIGH,4.5,2.1,-20,0
Yantian,2024,43,ALL,ALL,0.3,LOW,1,LOW,0.8,0.4,50,42.9
Vung tau,2024,43,ALL,ALL,0.5,LOW,3.4,LOW,0.5,16.3,25,13.3
Tianjin,2024,43,ALL,ALL,0.6,HIGH,1.1,HIGH,5.3,2.6,-14.3,-26.7
Tanjung pelepas,2024,43,ALL,ALL,0.5,LOW,0.8,LOW,2.1,0.6,-16.7,-11.1
Singapore,2024,43,ALL,ALL,0.8,HIGH,0.8,HIGH,5.5,2.3,0,0
Shanghai,2024,43,ALL,ALL,1,HIGH,0.7,HIGH,2.4,3.2,25,16.7
Qingdao,2024,43,ALL,ALL,1.2,HIGH,1,HIGH,2.3,4.4,50,11.1
Ningbo,2024,43,ALL,ALL,1.2,HIGH,0.8,HIGH,1.7,2,20,-11.1
Nansha,2024,43,ALL,ALL,0.3,HIGH,0.5,HIGH,0.4,1.7,50,0
Hai phong,2024,43,ALL,ALL,0.3,HIGH,1,HIGH,1.6,9.3,50,0
Busan,2024,43,ALL,ALL,0.5,HIGH,0.8,HIGH,1.3,3.1,66.7,0
Yantian,2024,42,ALL,ALL,0.2,LOW,0.7,LOW,0.9,0.4,0,-12.5
Vung tau,2024,42,ALL,ALL,0.6,LOW,1.3,LOW,2.4,11.9,20,-38.1
Tianjin,2024,42,ALL,ALL,0.7,HIGH,1.5,HIGH,5,2,-22.2,15.4
Tanjung pelepas,2024,42,ALL,ALL,0.6,HIGH,0.9,HIGH,2.2,0.9,20,12.5
Singapore,2024,42,ALL,ALL,0.8,MEDIUM,0.8,MEDIUM,5,1.9,0,0
Shanghai,2024,42,ALL,ALL,1,HIGH,0.7,HIGH,1.9,3.3,-33.3,0
Qingdao,2024,42,ALL,ALL,0.8,HIGH,0.9,HIGH,1.6,4.4,60,12.5
Ningbo,2024,42,ALL,ALL,1,HIGH,0.9,HIGH,1.3,1.6,25,0
Nansha,2024,42,ALL,ALL,0.2,HIGH,0.5,HIGH,1.8,2.1,-33.3,25
Hai phong,2024,42,ALL,ALL,0.2,HIGH,1,HIGH,0.9,6.3,-33.3,0
Busan,2024,42,ALL,ALL,0.3,HIGH,0.8,HIGH,15.3,4,-25,0
Yantian,2024,41,ALL,ALL,0.2,LOW,0.8,LOW,0.4,0.3,-66.7,-27.3
Vung tau,2024,41,ALL,ALL,0.5,MEDIUM,2.1,MEDIUM,0.3,10.6,-37.5,31.3
Tianjin,2024,41,ALL,ALL,0.6,HIGH,1.2,HIGH,6.7,4.1,-14.3,-14.3
Tanjung pelepas,2024,41,ALL,ALL,0.5,LOW,0.8,LOW,1.4,0.5,0,-11.1
Singapore,2024,41,ALL,ALL,0.8,HIGH,0.8,HIGH,5.3,3,0,0
Shanghai,2024,41,ALL,ALL,1.5,MEDIUM,0.7,MEDIUM,2.7,4.2,-40,0
Qingdao,2024,41,ALL,ALL,0.5,HIGH,0.8,HIGH,1.3,6.1,-37.5,-11.1
Ningbo,2024,41,ALL,ALL,0.8,HIGH,0.9,HIGH,1.9,1.2,-46.7,0
Nansha,2024,41,ALL,ALL,0.3,HIGH,0.4,HIGH,0.6,1.8,0,-20
Hai phong,2024,41,ALL,ALL,0.2,MEDIUM,1,MEDIUM,1.1,7,-33.3,0
Busan,2024,41,ALL,ALL,0.4,HIGH,0.8,HIGH,1.6,5.6,0,0
Yantian,2024,40,ALL,ALL,0.6,LOW,1.1,LOW,0.6,0.5,100,22.2
Vung tau,2024,40,ALL,ALL,0.8,LOW,1.6,LOW,7.8,8.2,100,-51.5
Tianjin,2024,40,ALL,ALL,0.7,LOW,1.4,LOW,5.1,4.9,-22.2,16.7
Tanjung pelepas,2024,40,ALL,ALL,0.5,LOW,0.9,LOW,1.4,0.5,0,12.5
Singapore,2024,40,ALL,ALL,0.9,HIGH,0.9,HIGH,3.3,3.9,12.5,0
Shanghai,2024,40,ALL,ALL,2.5,HIGH,0.7,HIGH,3.2,6.8,-7.4,16.7
Qingdao,2024,40,ALL,ALL,0.8,HIGH,0.9,HIGH,1,1.6,-27.3,12.5
Ningbo,2024,40,ALL,ALL,1.1,HIGH,0.9,HIGH,2.4,1.3,-26.7,0
Nansha,2024,40,ALL,ALL,0.3,HIGH,0.5,HIGH,0.4,7.3,50,0
Hai phong,2024,40,ALL,ALL,0.3,HIGH,1,HIGH,0.7,7.5,0,0
Busan,2024,40,ALL,ALL,0.4,MEDIUM,0.8,MEDIUM,1.1,4.7,-20,0
Yantian,2024,39,ALL,ALL,0.3,LOW,0.9,LOW,0.5,0.9,-62.5,-10
Vung tau,2024,39,ALL,ALL,0.4,LOW,3.3,LOW,0.2,18.1,33.3,106.3
Tianjin,2024,39,ALL,ALL,0.9,HIGH,1.2,HIGH,6.4,4.2,0,-14.3
Tanjung pelepas,2024,39,ALL,ALL,0.5,LOW,0.8,LOW,1.3,0.8,0,-11.1
Singapore,2024,39,ALL,ALL,0.8,HIGH,0.9,HIGH,2.7,2.5,0,0
Shanghai,2024,39,ALL,ALL,2.7,HIGH,0.6,HIGH,2.6,6.9,42.1,-14.3
Qingdao,2024,39,ALL,ALL,1.1,HIGH,0.8,HIGH,1.7,3.4,57.1,-11.1
Ningbo,2024,39,ALL,ALL,1.5,HIGH,0.9,HIGH,2.3,2,50,12.5
Nansha,2024,39,ALL,ALL,0.2,HIGH,0.5,HIGH,0.7,3.5,-60,0
Hai phong,2024,39,ALL,ALL,0.3,HIGH,1,HIGH,1.5,7.9,-40,0
Busan,2024,39,ALL,ALL,0.5,HIGH,0.8,HIGH,11.2,2.4,-16.7,0
Yantian,2024,38,ALL,ALL,0.8,HIGH,1,HIGH,0.9,0.4,-27.3,0
Vung tau,2024,38,ALL,ALL,0.3,HIGH,1.6,HIGH,0.1,14.9,-25,-30.4
Tianjin,2024,38,ALL,ALL,0.9,HIGH,1.4,HIGH,7.1,3.4,0,7.7
Tanjung pelepas,2024,38,ALL,ALL,0.5,MEDIUM,0.9,MEDIUM,2,0.7,0,0
Singapore,2024,38,ALL,ALL,0.8,LOW,0.9,LOW,3.1,2.9,0,12.5
Shanghai,2024,38,ALL,ALL,1.9,HIGH,0.7,HIGH,2.1,4.5,46.1,0
Qingdao,2024,38,ALL,ALL,0.7,LOW,0.9,LOW,1.6,4.5,40,12.5
Ningbo,2024,38,ALL,ALL,1,LOW,0.8,LOW,1.5,2.4,42.9,-11.1
Nansha,2024,38,ALL,ALL,0.5,HIGH,0.5,HIGH,0.7,4.9,-37.5,0
Hai phong,2024,38,ALL,ALL,0.5,HIGH,1,HIGH,1.3,5.7,-37.5,-9.1
Busan,2024,38,ALL,ALL,0.6,HIGH,0.8,HIGH,0.9,2.5,100,-11.1
Yantian,2024,37,ALL,ALL,1.1,LOW,1,LOW,0.7,0.4,83.3,11.1
Vung tau,2024,37,ALL,ALL,0.4,HIGH,2.3,HIGH,2.3,14,-86.2,15
Tianjin,2024,37,ALL,ALL,0.9,HIGH,1.3,HIGH,6.3,2.5,50,18.2
Tanjung pelepas,2024,37,ALL,ALL,0.5,HIGH,0.9,HIGH,1.1,1.1,0,0
Singapore,2024,37,ALL,ALL,0.8,HIGH,0.8,HIGH,4.7,2.9,0,-11.1
Shanghai,2024,37,ALL,ALL,1.3,HIGH,0.7,HIGH,2.6,4.9,0,0
Qingdao,2024,37,ALL,ALL,0.5,HIGH,0.8,HIGH,1.5,3.7,25,0
Ningbo,2024,37,ALL,ALL,0.7,HIGH,0.9,HIGH,0.9,1.7,-12.5,0
Nansha,2024,37,ALL,ALL,0.8,HIGH,0.5,HIGH,1.1,0.4,100,0
Hai phong,2024,37,ALL,ALL,0.8,LOW,1.1,LOW,1.3,4.8,166.7,10
Busan,2024,37,ALL,ALL,0.3,HIGH,0.8,HIGH,1.4,1.6,-25,0
Yantian,2024,36,ALL,ALL,0.6,LOW,0.9,LOW,0.9,0.4,20,-10
Vung tau,2024,36,ALL,ALL,0.4,MEDIUM,3,MEDIUM,0.2,12.7,-33.3,-77.6
Tianjin,2024,36,ALL,ALL,0.6,HIGH,1.1,HIGH,6.5,2.1,-53.9,-26.7
Tanjung pelepas,2024,36,ALL,ALL,0.5,HIGH,0.9,HIGH,7.2,1.5,0,-10
